# R,G,B
0.00942808,0.00904106,0.00896940
0.01217740,0.01100093,0.01055764
0.01536754,0.01309470,0.01214533
0.01897174,0.01532672,0.01375942
0.02299109,0.01769385,0.01539990
0.02743040,0.02019235,0.01706360
0.03229576,0.02281848,0.01874658
0.03759381,0.02556867,0.02044472
0.04322639,0.02843950,0.02215402
0.04884155,0.03142775,0.02387057
0.05443057,0.03453033,0.02559066
0.05999657,0.03774430,0.02731075
0.06554231,0.04105379,0.02902748
0.07107030,0.04431707,0.03073764
0.07658276,0.04752868,0.03243817
0.08208173,0.05069124,0.03412616
0.08756902,0.05380710,0.03579882
0.09304630,0.05687838,0.03745348
0.09851509,0.05990701,0.03908760
0.10397678,0.06289473,0.04069410
0.10943263,0.06584312,0.04223041
0.11488383,0.06875364,0.04370759
0.12033145,0.07162762,0.04512711
0.12577652,0.07446627,0.04649027
0.13121995,0.07727071,0.04779828
0.13666262,0.08004199,0.04905222
0.14210536,0.08278105,0.05025309
0.14754891,0.08548879,0.05140176
0.15299401,0.08816601,0.05249906
0.15844132,0.09081348,0.05354570
0.16389149,0.09343191,0.05454235
0.16934510,0.09602194,0.05548958
0.17480274,0.09858419,0.05638792
0.18026495,0.10111922,0.05723782
0.18573223,0.10362757,0.05803969
0.19120508,0.10610972,0.05879388
0.19668397,0.10856613,0.05950067
0.20216933,0.11099723,0.06016030
0.20766160,0.11340341,0.06077298
0.21316118,0.11578505,0.06133884
0.21866847,0.11814249,0.06185798
0.22418384,0.12047605,0.06233044
0.22970765,0.12278603,0.06275624
0.23524026,0.12507271,0.06313532
0.24078199,0.12733634,0.06346761
0.24633318,0.12957716,0.06375295
0.25189413,0.13179540,0.06399117
0.25746516,0.13399125,0.06418203
0.26304654,0.13616490,0.06432525
0.26863858,0.13831652,0.06442050
0.27424154,0.14044627,0.06446738
0.27985569,0.14255430,0.06446738
0.28548130,0.14464072,0.06446738
0.29111862,0.14670567,0.06446738
0.29676790,0.14874924,0.06446738
0.30242937,0.15077151,0.06446738
0.30810328,0.15277259,0.06446738
0.31378986,0.15475252,0.06446738
0.31948933,0.15671138,0.06446738
0.32520190,0.15864921,0.06446738
0.33092781,0.16056604,0.06446738
0.33666725,0.16246191,0.06446738
0.34242043,0.16433683,0.06446738
0.34818757,0.16619082,0.06446738
0.35396884,0.16802387,0.06446738
0.35976447,0.16983598,0.06446738
0.36557462,0.17162712,0.06446738
0.37139951,0.17339727,0.06446738
0.37723930,0.17514640,0.06446738
0.38309419,0.17687446,0.06446738
0.38896435,0.17858141,0.06446738
0.39484996,0.18026717,0.06446738
0.40075120,0.18193170,0.06446738
0.40666825,0.18357490,0.06446738
0.41260127,0.18519670,0.06446738
0.41855042,0.18679700,0.06446738
0.42451589,0.18837571,0.06446738
0.43049783,0.18993273,0.06446738
0.43649641,0.19146792,0.06446738
0.44251179,0.19298118,0.06446738
0.44854412,0.19447238,0.06446738
0.45459357,0.19594137,0.06446738
0.46066030,0.19738800,0.06446738
0.46674445,0.19881214,0.06446738
0.47284619,0.20021360,0.06446738
0.47896566,0.20159223,0.06446738
0.48510302,0.20294785,0.06446738
0.49125841,0.20428027,0.06446738
0.49743200,0.20558929,0.06446738
0.50362392,0.20687471,0.06446738
0.50983432,0.20813632,0.06446738
0.51606336,0.20937390,0.06446738
0.52231117,0.21058723,0.06446738
0.52857790,0.21177605,0.06446738
0.53486369,0.21294014,0.06446738
0.54001147,0.21526737,0.06446738
0.54480444,0.21800167,0.06446738
0.54753482,0.22304165,0.06446738
0.55024534,0.22806178,0.06446738
0.55293624,0.23306357,0.06446738
0.55560764,0.23804851,0.06446738
0.55825966,0.24301800,0.06721402
0.56089242,0.24797331,0.06996066
0.56350601,0.25291565,0.07270730
0.56610056,0.25784616,0.07545393
0.56867615,0.26276586,0.07820057
0.57123288,0.26767574,0.08094721
0.57377085,0.27257674,0.08369385
0.57629013,0.27746970,0.08644049
0.57879082,0.28235544,0.08918713
0.58127299,0.28723474,0.09193377
0.58373672,0.29210830,0.09468040
0.58618208,0.29697683,0.09742704
