# R,G,B
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00392157,0.00000000,0.00000000
0.00784314,0.00000000,0.00000000
0.01568627,0.00000000,0.00000000
0.01568627,0.00000000,0.00000000
0.01960784,0.00000000,0.00000000
0.02352941,0.00000000,0.00000000
0.02745098,0.00000000,0.00000000
0.03137255,0.00000000,0.00000000
0.03529412,0.00000000,0.00000000
0.03921569,0.00000000,0.00000000
0.04705882,0.00000000,0.00000000
0.05098039,0.00000000,0.00000000
0.05490196,0.00000000,0.00000000
0.05882353,0.00000000,0.00000000
0.06274510,0.00000000,0.00000000
0.06666667,0.00000000,0.00000000
0.07058823,0.00000000,0.00000000
0.07450980,0.00000000,0.00000000
0.08235294,0.00000000,0.00000000
0.08627451,0.00000000,0.00000000
0.09019608,0.00000000,0.00000000
0.09019608,0.00000000,0.00000000
0.09411765,0.00000000,0.00000000
0.09803922,0.00000000,0.00000000
0.10196078,0.00000000,0.00000000
0.10588235,0.00000000,0.00000000
0.11372549,0.00000000,0.00000000
0.11764706,0.00000000,0.00000000
0.12156863,0.00000000,0.00000000
0.12549020,0.00000000,0.00000000
0.12941177,0.00000000,0.00000000
0.13333333,0.00000000,0.00000000
0.13725490,0.00000000,0.00000000
0.14117647,0.00000000,0.00000000
0.14901961,0.00000000,0.00000000
0.15294118,0.00000000,0.00000000
0.15686274,0.00000000,0.00000000
0.16078431,0.00000000,0.00000000
0.16470588,0.00000000,0.00000000
0.16470588,0.00000000,0.00000000
0.16862745,0.00000000,0.00000000
0.17254902,0.00000000,0.00000000
0.18039216,0.00000000,0.00000000
0.18431373,0.00000000,0.00000000
0.18823529,0.00000000,0.00000000
0.19215686,0.00000000,0.00000000
0.19607843,0.00000000,0.00000000
0.20000000,0.00000000,0.00000000
0.20392157,0.00000000,0.00000000
0.20784314,0.00000000,0.00000000
0.21568628,0.00000000,0.00000000
0.21960784,0.00000000,0.00000000
0.22352941,0.00000000,0.00000000
0.22745098,0.00000000,0.00000000
0.23137255,0.00000000,0.00000000
0.23529412,0.00000000,0.00000000
0.23921569,0.00000000,0.00000000
0.23921569,0.00000000,0.00000000
0.24705882,0.00000000,0.00000000
0.25098039,0.00000000,0.00000000
0.25490196,0.00000000,0.00000000
0.25882353,0.00000000,0.00000000
0.26274510,0.00000000,0.00000000
0.26666667,0.00000000,0.00000000
0.27058824,0.00000000,0.00000000
0.27450980,0.00000000,0.00000000
0.28235294,0.00000000,0.00000000
0.28627451,0.00000000,0.00000000
0.29019608,0.00000000,0.00000000
0.29411765,0.00000000,0.00000000
0.29803922,0.00000000,0.00000000
0.30196078,0.00000000,0.00000000
0.30588235,0.00000000,0.00000000
0.31372549,0.00000000,0.00000000
0.31764706,0.00000000,0.00000000
0.31764706,0.00000000,0.00000000
0.32156863,0.00000000,0.00000000
0.32549020,0.00000000,0.00000000
0.32941177,0.00000000,0.00000000
0.33333333,0.00000000,0.00000000
0.33725490,0.00000000,0.00000000
0.34117647,0.00392157,0.00000000
0.34901961,0.01176471,0.00000000
0.35294118,0.01960784,0.00000000
0.35686274,0.02745098,0.00000000
0.36078431,0.03137255,0.00000000
0.36470588,0.03921569,0.00000000
0.36862745,0.04705882,0.00000000
0.37254902,0.05490196,0.00000000
0.37647059,0.05882353,0.00000000
0.38431372,0.06666667,0.00000000
0.38823529,0.07450980,0.00000000
0.39215686,0.08235294,0.00000000
0.39215686,0.08235294,0.00000000
0.39607843,0.08627451,0.00000000
0.40000000,0.09411765,0.00000000
0.40392157,0.10196078,0.00000000
0.40784314,0.10980392,0.00000000
0.41568627,0.11372549,0.00000000
0.41960784,0.12156863,0.00000000
0.42352941,0.12941177,0.00000000
0.42745098,0.13333333,0.00000000
0.43137255,0.14117647,0.00000000
0.43529412,0.14901961,0.00000000
0.43921569,0.15686274,0.00000000
0.44313726,0.16078431,0.00000000
0.45098039,0.16862745,0.00000000
0.45490196,0.17647059,0.00000000
0.45882353,0.18431373,0.00000000
0.46274510,0.18823529,0.00000000
0.46666667,0.19607843,0.00000000
0.46666667,0.19607843,0.00000000
0.47058824,0.20392157,0.00000000
0.47450980,0.21176471,0.00000000
0.48235294,0.21568628,0.00000000
0.48627451,0.22352941,0.00000000
0.49019608,0.23137255,0.00000000
0.49411765,0.23529412,0.00000000
0.49803922,0.24313725,0.00000000
0.50196078,0.25098039,0.00000000
0.50588235,0.25882353,0.00000000
0.50980392,0.26274510,0.00000000
0.51764706,0.27058824,0.00000000
0.52156863,0.27843137,0.00000000
0.52549020,0.28627451,0.00000000
0.52941176,0.29019608,0.00000000
0.53333333,0.29803922,0.00000000
0.53725490,0.30588235,0.00000000
0.54117647,0.31372549,0.00000000
0.54117647,0.31372549,0.00000000
0.54901961,0.31764706,0.00000000
0.55294118,0.32549020,0.00000000
0.55686274,0.33333333,0.00000000
0.56078431,0.33725490,0.00000000
0.56470588,0.34509804,0.00000000
0.56862745,0.35294118,0.00000000
0.57254902,0.36078431,0.00000000
0.57647059,0.36470588,0.00000000
0.58431373,0.37254902,0.00000000
0.58823529,0.38039216,0.00000000
0.59215686,0.38823529,0.00000000
0.59607843,0.39215686,0.00000000
0.60000000,0.40000000,0.00000000
0.60392157,0.40784314,0.00000000
0.60784314,0.41568627,0.00000000
0.61568627,0.41960784,0.00000000
0.61960784,0.42745098,0.00000000
0.61960784,0.42745098,0.00000000
0.62352941,0.43529412,0.00000000
0.62745098,0.43921569,0.00000000
0.63137255,0.44705882,0.00784314
0.63529412,0.45490196,0.02352941
0.63921569,0.46274510,0.03529412
0.64313725,0.46666667,0.04705882
0.65098039,0.47450980,0.05882353
0.65490196,0.48235294,0.07058823
0.65882353,0.49019608,0.08235294
0.66274510,0.49411765,0.09411765
0.66666667,0.50196078,0.10588235
0.67058823,0.50980392,0.11764706
0.67450980,0.51764706,0.12941177
0.67843137,0.52156863,0.14117647
0.68627451,0.52941176,0.15686274
0.69019608,0.53725490,0.16862745
0.69411765,0.54509804,0.18039216
0.69411765,0.54509804,0.18039216
0.69803922,0.54901961,0.19215686
0.70196078,0.55686274,0.20392157
0.70588235,0.56470588,0.21568628
0.70980392,0.56862745,0.22745098
0.71764706,0.57647059,0.23921569
0.72156863,0.58431373,0.25098039
0.72549020,0.59215686,0.26274510
0.72941177,0.59607843,0.27450980
0.73333333,0.60392157,0.29019608
0.73725490,0.61176471,0.30196078
0.74117647,0.61960784,0.31372549
0.74509804,0.62352941,0.32549020
0.75294118,0.63137255,0.33725490
0.75686274,0.63921569,0.34901961
0.76078431,0.64705882,0.36078431
0.76470588,0.65098039,0.37254902
0.76862745,0.65882353,0.38431372
0.76862745,0.65882353,0.38431372
0.77254902,0.66666667,0.39607843
0.77647059,0.67058823,0.40784314
0.78431372,0.67843137,0.42352941
0.78823529,0.68627451,0.43529412
0.79215686,0.69411765,0.44705882
0.79607843,0.69803922,0.45882353
0.80000000,0.70588235,0.47058824
0.80392157,0.71372549,0.48235294
0.80784314,0.72156863,0.49411765
0.81176471,0.72549020,0.50588235
0.81960784,0.73333333,0.51764706
0.82352941,0.74117647,0.52941176
0.82745098,0.74901961,0.54117647
0.83137255,0.75294118,0.55294118
0.83529412,0.76078431,0.56862745
0.83921569,0.76862745,0.58039216
0.84313726,0.77254902,0.59215686
0.84313726,0.77254902,0.59215686
0.85098039,0.78039216,0.60392157
0.85490196,0.78823529,0.61568627
0.85882353,0.79607843,0.62745098
