# R,G,B
0.00000000,0.00000000,0.00000000
0.00522876,0.00130719,0.00000000
0.01045752,0.00261438,0.00000000
0.01568627,0.00392157,0.00000000
0.02091503,0.00522876,0.00000000
0.02614379,0.00653595,0.00000000
0.03137255,0.00784314,0.00000000
0.03660131,0.00915033,0.00000000
0.04183007,0.01045752,0.00000000
0.04705882,0.01176471,0.00000000
0.05228758,0.01307190,0.00000000
0.05751634,0.01437908,0.00000000
0.06274510,0.01568627,0.00000000
0.06797386,0.01699346,0.00000000
0.07320261,0.01830065,0.00000000
0.07843137,0.01960784,0.00000000
0.08366013,0.02091503,0.00000000
0.08888889,0.02222222,0.00000000
0.09411765,0.02352941,0.00000000
0.09934641,0.02483660,0.00000000
0.10457516,0.02614379,0.00000000
0.10980392,0.02745098,0.00000000
0.11503268,0.02875817,0.00000000
0.12026144,0.03006536,0.00000000
0.12549020,0.03137255,0.00000000
0.13071895,0.03267974,0.00000000
0.13594771,0.03398693,0.00000000
0.14117647,0.03529412,0.00000000
0.14640523,0.03660131,0.00000000
0.15163399,0.03790850,0.00000000
0.15686275,0.03921569,0.00000000
0.16209150,0.04052288,0.00000000
0.16732026,0.04183007,0.00000000
0.17254902,0.04313725,0.00000000
0.17777778,0.04444444,0.00000000
0.18300654,0.04575163,0.00000000
0.18823529,0.04705882,0.00000000
0.19346405,0.04836601,0.00000000
0.19869281,0.04967320,0.00000000
0.20352941,0.05176471,0.00058824
0.20823529,0.05411765,0.00137255
0.21294118,0.05647059,0.00215686
0.21764706,0.05882353,0.00294118
0.22235294,0.06117647,0.00372549
0.22705882,0.06352941,0.00450980
0.23176471,0.06588235,0.00529412
0.23647059,0.06823529,0.00607843
0.24117647,0.07058824,0.00686275
0.24588235,0.07294118,0.00764706
0.25058824,0.07529412,0.00843137
0.25529412,0.07764706,0.00921569
0.26000000,0.08000000,0.01000000
0.26470588,0.08235294,0.01078431
0.26941176,0.08470588,0.01156863
0.27411765,0.08705882,0.01235294
0.27882353,0.08941176,0.01313725
0.28352941,0.09176471,0.01392157
0.28823529,0.09411765,0.01470588
0.29294118,0.09647059,0.01549020
0.29764706,0.09882353,0.01627451
0.30235294,0.10117647,0.01705882
0.30705882,0.10352941,0.01784314
0.31176471,0.10588235,0.01862745
0.31647059,0.10823529,0.01941176
0.32117647,0.11058824,0.02019608
0.32588235,0.11294118,0.02098039
0.33058824,0.11529412,0.02176471
0.33529412,0.11764706,0.02254902
0.34000000,0.12000000,0.02333333
0.34470588,0.12235294,0.02411765
0.34941176,0.12470588,0.02490196
0.35411765,0.12705882,0.02568627
0.35882353,0.12941176,0.02647059
0.36352941,0.13176471,0.02725490
0.36823529,0.13411765,0.02803922
0.37294118,0.13647059,0.02882353
0.37764706,0.13882353,0.02960784
0.38235294,0.14117647,0.03039216
0.38705882,0.14352941,0.03117647
0.39176471,0.14588235,0.03196078
0.39647059,0.14823529,0.03274510
0.40117647,0.15058824,0.03352941
0.40588235,0.15294118,0.03431373
0.41058824,0.15529412,0.03509804
0.41529412,0.15764706,0.03588235
0.42000000,0.16000000,0.03666667
0.42470588,0.16235294,0.03745098
0.42941176,0.16470588,0.03823529
0.43411765,0.16705882,0.03901961
0.43882353,0.16941176,0.03980392
0.44352941,0.17176471,0.04058824
0.44823529,0.17411765,0.04137255
0.45294118,0.17647059,0.04215686
0.45764706,0.17882353,0.04294118
0.46235294,0.18117647,0.04372549
0.46705882,0.18352941,0.04450980
0.47176471,0.18588235,0.04529412
0.47647059,0.18823529,0.04607843
0.48117647,0.19058824,0.04686275
0.48588235,0.19294118,0.04764706
0.49058824,0.19529412,0.04843137
0.49529412,0.19764706,0.04921569
0.50000000,0.20000000,0.05000000
0.50522876,0.20522876,0.05065359
0.51045752,0.21045752,0.05130719
0.51568627,0.21568627,0.05196078
0.52091503,0.22091503,0.05261438
0.52614379,0.22614379,0.05326797
0.53137255,0.23137255,0.05392157
0.53660131,0.23660131,0.05457516
0.54183007,0.24183007,0.05522876
0.54705882,0.24705882,0.05588235
0.55228758,0.25228758,0.05653595
0.55751634,0.25751634,0.05718954
0.56274510,0.26274510,0.05784314
0.56797386,0.26797386,0.05849673
0.57320261,0.27320261,0.05915033
0.57843137,0.27843137,0.05980392
0.58366013,0.28366013,0.06045752
0.58888889,0.28888889,0.06111111
0.59411765,0.29411765,0.06176471
0.59934641,0.29934641,0.06241830
0.60457516,0.30457516,0.06307190
0.60980392,0.30980392,0.06372549
0.61503268,0.31503268,0.06437908
0.62026144,0.32026144,0.06503268
0.62549020,0.32549020,0.06568627
0.63071895,0.33071895,0.06633987
0.63594771,0.33594771,0.06699346
0.64117647,0.34117647,0.06764706
0.64640523,0.34640523,0.06830065
0.65163399,0.35163399,0.06895425
0.65686275,0.35686275,0.06960784
0.66209150,0.36209150,0.07026144
0.66732026,0.36732026,0.07091503
0.67254902,0.37254902,0.07156863
0.67777778,0.37777778,0.07222222
0.68300654,0.38300654,0.07287582
0.68823529,0.38823529,0.07352941
0.69346405,0.39346405,0.07418301
0.69869281,0.39869281,0.07483660
0.70392157,0.40392157,0.07549020
0.70915033,0.40915033,0.07614379
0.71437908,0.41437908,0.07679739
0.71960784,0.41960784,0.07745098
0.72483660,0.42483660,0.07810458
0.73006536,0.43006536,0.07875817
0.73529412,0.43529412,0.07941176
0.74052288,0.44052288,0.08006536
0.74575163,0.44575163,0.08071895
0.75098039,0.45098039,0.08137255
0.75620915,0.45620915,0.08202614
0.76143791,0.46143791,0.08267974
0.76666667,0.46666667,0.08333333
0.77189542,0.47189542,0.08398693
0.77712418,0.47712418,0.08464052
0.78235294,0.48235294,0.08529412
0.78758170,0.48758170,0.08594771
0.79281046,0.49281046,0.08660131
0.79803922,0.49803922,0.08725490
0.80326797,0.50326797,0.08790850
0.80849673,0.50849673,0.08856209
0.81372549,0.51372549,0.08921569
0.81895425,0.51895425,0.08986928
0.82418301,0.52418301,0.09052288
0.82941176,0.52941176,0.09117647
0.83464052,0.53464052,0.09183007
0.83986928,0.53986928,0.09248366
0.84509804,0.54509804,0.09313725
0.85032680,0.55032680,0.09379085
0.85555556,0.55555556,0.09444444
0.86078431,0.56078431,0.09509804
0.86601307,0.56601307,0.09575163
0.87124183,0.57124183,0.09640523
0.87647059,0.57647059,0.09705882
0.88169935,0.58169935,0.09771242
0.88692810,0.58692810,0.09836601
0.89215686,0.59215686,0.09901961
0.89738562,0.59738562,0.09967320
0.90098039,0.60294118,0.10392157
0.90294118,0.60882353,0.11176471
0.90490196,0.61470588,0.11960784
0.90686275,0.62058824,0.12745098
0.90882353,0.62647059,0.13529412
0.91078431,0.63235294,0.14313725
0.91274510,0.63823529,0.15098039
0.91470588,0.64411765,0.15882353
0.91666667,0.65000000,0.16666667
0.91862745,0.65588235,0.17450980
0.92058824,0.66176471,0.18235294
0.92254902,0.66764706,0.19019608
0.92450980,0.67352941,0.19803922
0.92647059,0.67941176,0.20588235
0.92843137,0.68529412,0.21372549
0.93039216,0.69117647,0.22156863
0.93235294,0.69705882,0.22941176
0.93431373,0.70294118,0.23725490
0.93627451,0.70882353,0.24509804
0.93823529,0.71470588,0.25294118
0.94019608,0.72058824,0.26078431
0.94215686,0.72647059,0.26862745
0.94411765,0.73235294,0.27647059
0.94607843,0.73823529,0.28431373
0.94803922,0.74411765,0.29215686
0.95000000,0.75000000,0.30000000
0.95196078,0.75588235,0.30784314
0.95392157,0.76176471,0.31568627
0.95588235,0.76764706,0.32352941
0.95784314,0.77352941,0.33137255
0.95980392,0.77941176,0.33921569
0.96176471,0.78529412,0.34705882
0.96372549,0.79117647,0.35490196
0.96568627,0.79705882,0.36274510
0.96764706,0.80294118,0.37058824
0.96960784,0.80882353,0.37843137
0.97156863,0.81470588,0.38627451
0.97352941,0.82058824,0.39411765
0.97549020,0.82647059,0.40196078
0.97745098,0.83235294,0.40980392
0.97941176,0.83823529,0.41764706
0.98137255,0.84411765,0.42549020
0.98333333,0.85000000,0.43333333
0.98529412,0.85588235,0.44117647
0.98725490,0.86176471,0.44901961
0.98921569,0.86764706,0.45686275
0.99117647,0.87352941,0.46470588
0.99313725,0.87941176,0.47254902
0.99509804,0.88529412,0.48039216
0.99705882,0.89117647,0.48823529
0.99901961,0.89705882,0.49607843
1.00000000,0.90196078,0.50980392
1.00000000,0.90588235,0.52941176
1.00000000,0.90980392,0.54901961
1.00000000,0.91372549,0.56862745
1.00000000,0.91764706,0.58823529
1.00000000,0.92156863,0.60784314
1.00000000,0.92549020,0.62745098
1.00000000,0.92941176,0.64705882
1.00000000,0.93333333,0.66666667
1.00000000,0.93725490,0.68627451
1.00000000,0.94117647,0.70588235
1.00000000,0.94509804,0.72549020
1.00000000,0.94901961,0.74509804
1.00000000,0.95294118,0.76470588
1.00000000,0.95686275,0.78431373
1.00000000,0.96078431,0.80392157
1.00000000,0.96470588,0.82352941
1.00000000,0.96862745,0.84313725
1.00000000,0.97254902,0.86274510
1.00000000,0.97647059,0.88235294
